id,name,rarity,cond,kind,value,cost,gold,gv,per,k2,v2,grow,gstep,boom,dadd,side,aim,score,unlock_stat,unlock_v,secs,weight,min_leg,enabled,_tags,_note
c01,발라트로의 조커,common,always,mult,2,4,,,,,,,,,,,,,,,,,,1,무조건,기준선. 조건 없는 배수 +2 다 (기획서 P.20)
c02,닌자,common,always,mult,1,4,,,mag_hvy,,,,,,,,,,,,,,,1,무조건;다트,무쇠 다트통과 짝이다. 기획서 P.20 이 무거운 다트 1개당 배수 +1 이다
c03,유리 대포,common,always,mult,15,4,,,,,,,,r2,,,,,,,,,,1,무조건;파괴,판마다 1/2 로 부서진다 · 2026-09-13 기획서 「판마다 1/2 확률로 파괴」. boom 이 rN=1/N 을 받게 되어 r6 에서 내려왔다(첫 마디가 1/6 인 채로 남아 제 뒷마디와 어긋나 있던 것을 2026-09-19 에 맞췄다)
c04,위대한 피자,common,always,mult,8,4,,,,,,rdec,1,,,,,,,,,,,1,무조건;성장,기획서 P.20 — 배수 +8 에서 시작해 판마다 1씩 준다. 여덟 판을 못 넘긴다
c05,금요일,common,always,mult_rand,13,4,,,,,,,,,,,,,,,,,,1,무조건;무작위,기획서 P.20 이 배수 +0~13 이다. 기댓값은 배수 +6.5. 이름은 2026-09-13 기획서가 「비트 코인」에서 갈았다.
c06,이카로스,common,always,xmult,4,4,,,,,,,,r10,,,,,,,,,,1,무조건;파괴,2026-09-13 기획서 「배수 ×4 · 판마다 1/10 확률로 파괴」. boom 이 rN=1/N 을 받게 되어 켰다. **이름은 기획서를 덮었다** — 기획서 s22 는 아직 「아카로스」인데 2026-09-13 사용자가 「이카로스」로 갈라고 했다. 밀랍 날개가 녹아 떨어지는 그 이름이 판마다 부서지는 이 동전과 맞는다. qa_spec 의 RENAMED 가 그 자리를 지킨다
c07,BiiiG,common,big,chip,16,4,,,,,,,,,,,,,,,,,,1,칸;대소,15 이상 다섯 칸
c08,천동설,common,bull,chip,20,4,,,,mult,2,,,,,,,,,,,,,1,불,불 하나에 점수와 배수가 같이 붙는다. 기획서 P.20 은 점수 +20 · 배수 +2 다
c09,양,common,col,mult,3,4,,,,,,,,,,,,,,,0,,,1,색,크림 칸. 지금 판에서는 짝수 칸이다
c10,음,common,col,mult,3,4,,,,,,,,,,,,,,,1,,,1,색,먹 칸. 지금 판에서는 홀수 칸이다
c11,가장자리,common,double,mult,4,4,,,,,,,,,,,,,,,,,,1,링;더블,더 굿 더 베드 더 트리플의 바깥 띠 짝. 기획서 P.20 값 배수 +4 로 되돌렸다 — 덮어 두었던 것은 내 밸런스 판단이었다
c12,쌍둥이,common,even,chip,14,4,,,,,,,,,,,,,,,,,,1,칸;홀짝,음과 같은 칸을 본다 — 색이 칸을 따라간다
c13,외동,common,odd,chip,13,4,,,,,,,,,,,,,,,,,,1,칸;홀짝,양과 같은 칸을 본다
c14,스파르타,common,few,mult,10,4,,,,,,,,,,,,,,,,,,1,자원,다트를 태우는 빌드의 보상. 기획서 P.20 값 배수 +10. 이름은 2026-09-13 기획서가 「소수 정예」에서 갈았다.
c15,HOPE,common,last,mult,18,4,,,,,,,,,,,,,,,,,,1,순번,막 발에만 선다. 기획서 P.20 값 배수 +18
c16,좌익수,common,left,mult,2,4,,,,,,,,,,,,,,,,,,1,칸;좌우,기획서 P.20 값 배수 +2 로 되돌렸다 — 덮어 두었던 것은 내 밸런스 판단이었다
c17,우익수,common,right,mult,3,4,,,,,,,,,,,,,,,,,,1,칸;좌우,좌익수와 완전분할 짝이라 경고가 하나 남는다. 기획서 P.20 값 배수 +3 으로 되돌렸다
c18,PART I,common,pair,chip,50,4,,,,,,,,,,,,,,,,,,1,반복,같은 숫자 두 번째 발부터. 이름은 2026-09-13 기획서가 「한번 더!!!」에서 갈았다.
c19,PART II,common,pair,mult,2,4,,,,,,,,,,,,,,,,,,1,반복,PART I 의 배수판. 기획서 P.20 값 배수 +2. 이름은 2026-09-13 기획서가 「한번 더???」에서 갈았다.
c20,찰리의 초콜릿,common,,,,4,,,,,,,,,,,,,,,,,,0,무조건,엔진 미지원: 이번 런에 쓴 사탕 수를 세는 자리가 없다
c21,8번 입구,common,,,,4,,,,,,,,,,,,,,,,,,0,칸,엔진 미지원: 아이템 생성
c22,릭의 카페,common,,,,4,,,,,,,,,,,,,,,,,,0,상점,엔진 미지원: 상점 훅. 이름은 2026-09-13 기획서가 「단골 손님」에서 갈았다.
c23,와인,common,,,,4,,,,,,,,,,,,,,,,,,0,경제,엔진 미지원: 판매가 성장
c24,사탕포장지,common,,,,4,,,,,,,,,,,,,,,,,,0,팩,엔진 미지원: 팩 훅
c25,빛나는 동전,common,,,,4,,,,,,,,,,,,,,,,,,0,슬롯,엔진 미지원: 재발동
c26,잡동사니,common,,,,4,,,,,,,,,,,,,,,,,,0,무조건,엔진 미지원: 아이템 생성
c27,엣지러너,common,,,,4,,,,,,,,,,,,,,,,,,0,빗나감;트랙,엔진 미지원(값 하나): 빗나감에 1/77 트랙 승급. side 에 값을 더하면 켜진다
c28,숙제,common,,,,4,,,,,,,,,,,,,,,,,,0,트랙,엔진 미지원: 지정 트랙 조건이 없다
c29,황금우상,common,always,,,4,risk50,2,,,,,,,,,,,,,,,,1,골드;위험,착탄에 붙는 유일한 골드다. 이름은 2026-09-13 기획서가 「모험심」에서 갈았다.
c30,윅 존,common,always,,,4,clean,2,,,,,,,,,,,,,,,,1,골드;무실책,한 발도 안 빗나가야 한다
c31,알 낳는 거위,common,always,,,4,leg,4,,,,,,,,,,,,,,,,1,골드;정기,판마다 꼬박꼬박
c32,1-UP,common,always,,,4,,,,,,,,,1,,,,,,,,,1,자원,여섯 발이 일곱 발이 된다. 이름은 2026-09-13 기획서가 「예비 다트」에서 갈았다.
c33,푸른 구슬,common,always,chip,10,4,,,darts_left,,,,,,,,,,,,,,,1,무조건;자원,적은 발로 끝낼수록 커진다. 이름은 2026-09-13 기획서가 「파란 다트」에서 갈았다.
c34,아이스그림,common,always,chip,100,4,,,,,,tdec,5,,,,,,,,,,,1,무조건;성장,던질수록 녹는다. 스무 발이면 0 이고 그 발의 정산이 끝나면 사라진다 — 기획서에 파괴 줄이 없지만 발라트로 아이스크림과 같게 맞췄다(2026-09-07 지시)
c35,quite my tempo,common,always,mult,,4,,,,,,hitmiss,1,,,,,,,,,,,1,무조건;성장,명중에 오르고 빗나감에 내린다. 이름은 2026-09-13 기획서가 「명중 적립기」에서 갈았다.
c36,연속사진,common,always,mult,1,4,,,zonehist,,,,,,,,,,,,,,,1,무조건;영역,한 영역을 파는 빌드 전용. 이름은 2026-09-13 기획서가 「착탄 이력계」에서 갈았다.
c37,진열된 수프,common,always,mult,1,4,,,rackval,,,,,,,,,,,,,,,1,무조건;경제,비싼 동전을 쥘수록 커진다. 이름은 2026-09-13 기획서가 「진열 가치」에서 갈았다.
c38,베르툼누스,common,always,mult,2,4,,,items,,,,,,,,,,,,,,,1,무조건;슬롯,슬롯을 채울수록 커진다. 기획서 P.21 값 배수 +2. 이름은 2026-09-13 기획서가 「동전 슬롯 집합체」에서 갈았다.
c39,2300,common,risk,chip,23,4,,,,,,,,,,,,,,,,,,1,위험,더블·트리플·불 전부. 기획서 P.22 값 점수 +23 — 이름의 2300 이 곧 그 수다
c40,0023,common,risk,mult,3,4,,,,,,,,,,,,,,,,,,1,위험,2300 의 배수판. 기획서 P.22 값 배수 +3 — 이름의 0023 이 곧 그 수다
c41,첫 만남,common,risk1,xmult,2,4,,,,,,,,,,,,,,,,,,1,위험;순번,판마다 한 번뿐이다
c42,무전기,common,sec,chip,10,4,,,,mult,4,,,,,,,,,,4;10,,,1,칸;지정,4 와 10 은 판에서 마주 보지 않는다
c43,감자 먹는 사람들,common,small,mult,2,4,broke,4,,,,,,,,,,,,,,,,1,칸;대소;골드,득점 반쪽이 어린 왕자보다 낮다 — 그 차액이 골드다. 이름은 2026-09-13 기획서가 「굳은살」에서 갈았다.
c44,어린 왕자,common,small,mult,5,4,,,,,,,,,,,,,,,,,,1,칸;대소,감자 먹는 사람들의 득점 전업판. 이름은 2026-09-13 기획서가 「무른살」에서 갈았다.
c45,삼미신,common,spread,chip,,4,,,,,,fire,15,,,,,,,,,,,1,분산;성장,칠 때마다 쌓인다. 이름은 2026-09-13 기획서가 「계란 바구니」에서 갈았다.
c46,프리즘,common,spread,chip,100,4,,,,,,,,,,,,,,,,,,1,분산,다른 숫자 셋을 채운 그 발부터. 이름은 2026-09-13 기획서가 「분산투자」에서 갈았다.
c47,ADHD,common,spread,mult,10,4,,,,,,,,,,,,,,,,,,1,분산,프리즘의 배수판. 기획서 P.22 값 배수 +10
c48,더 굿 더 베드 더 트리플,common,triple,mult,3,4,,,,,,,,,,,,,,,,,,1,링;트리플,판의 12.20% 짜리 띠. 기획서 P.22 값 배수 +3 으로 되돌렸다 — 덮어 두었던 것은 내 밸런스 판단이었다. 이름은 2026-09-13 기획서가 「트리오」에서 갈았다.
c49,큰 파도,common,zone3,chip,60,4,,,,,,,,,,,,,,,,,,1,영역,같은 영역 셋. 이름은 2026-09-13 기획서가 「물타기」에서 갈았다.
c50,트리플 엘비스,common,zone3,mult,6,4,,,,,,,,,,,,,,,,,,1,영역,큰 파도의 배수판. 이름은 2026-09-13 기획서가 「집중력」에서 갈았다.
